Moana serial number, 874
Download time, 10/06/2025 09:00:02
Deck unit serial number, 5361
Moana calibration date, 17/08/2023
Moana Battery, 3.56 (V)
Date quality controlled, 2025-06-10T12:03:14 +0000
Vessel Name, Green Mountain 
Vessel ID, NA
Cellular upload position, NA
Deck unit battery voltage, 4.16
QC_FLAG Key, 1=good 2=probably good 3=probably bad 4=bad
,DATETIME [UTC],LATITUDE,LONGITUDE,TEMPERATURE [degC],DEPTH [m],QC_FLAG
270,2025-06-10T08:48:39,29.113936,197.529005,14.21,261.5,2
271,2025-06-10T08:49:24,29.113936,197.529005,14.33,257.5,2
272,2025-06-10T08:50:05,29.113936,197.529005,14.44,253.4,2
273,2025-06-10T08:51:44,29.113936,197.529005,14.67,249.5,2
274,2025-06-10T08:52:22,29.113936,197.529005,14.9,245.2,2
275,2025-06-10T08:52:46,29.113936,197.529005,14.99,241.2,2
276,2025-06-10T08:53:10,29.113936,197.529005,15.07,237.0,2
277,2025-06-10T08:53:32,29.113936,197.529005,15.45,232.6,2
278,2025-06-10T08:53:50,29.113936,197.529005,15.65,228.4,2
279,2025-06-10T08:54:02,29.113936,197.529005,15.66,224.5,2
280,2025-06-10T08:54:14,29.113936,197.529005,15.8,220.5,2
281,2025-06-10T08:54:26,29.113936,197.529005,16.08,216.5,2
282,2025-06-10T08:54:36,29.113936,197.529005,16.36,212.4,2
283,2025-06-10T08:54:48,29.113936,197.529005,16.67,207.6,2
284,2025-06-10T08:54:57,29.113936,197.529005,16.9,203.4,2
285,2025-06-10T08:55:08,29.113936,197.529005,16.99,199.3,2
286,2025-06-10T08:55:11,29.113936,197.529005,17.0,197.7,2
287,2025-06-10T08:55:13,29.113936,197.529005,17.02,196.7,2
288,2025-06-10T08:55:15,29.113936,197.529005,17.05,195.5,2
289,2025-06-10T08:55:18,29.113936,197.529005,17.16,194.3,2
290,2025-06-10T08:55:21,29.113936,197.529005,17.24,193.2,2
291,2025-06-10T08:55:23,29.113936,197.529005,17.27,191.6,2
292,2025-06-10T08:55:26,29.113936,197.529005,17.43,190.2,2
293,2025-06-10T08:55:29,29.113936,197.529005,17.59,188.5,2
294,2025-06-10T08:55:32,29.113936,197.529005,17.64,187.1,2
295,2025-06-10T08:55:34,29.113936,197.529005,17.64,186.1,2
296,2025-06-10T08:55:37,29.113936,197.529005,17.68,184.7,2
297,2025-06-10T08:55:40,29.113936,197.529005,17.8,183.2,2
298,2025-06-10T08:55:43,29.113936,197.529005,17.89,181.8,2
299,2025-06-10T08:55:45,29.113936,197.529005,18.01,180.1,2
300,2025-06-10T08:55:48,29.113936,197.529005,18.06,178.9,2
301,2025-06-10T08:55:50,29.113936,197.529005,18.1,177.9,2
302,2025-06-10T08:55:53,29.113936,197.529005,18.17,176.2,2
303,2025-06-10T08:55:56,29.113936,197.529005,18.21,175.0,2
304,2025-06-10T08:55:59,29.113936,197.529005,18.24,173.7,2
305,2025-06-10T08:56:03,29.113936,197.529005,18.31,172.0,2
